,mean_x,mean_y
1020682_21016_0_0,513.0,521.4
1024261_21016_0_0,497.0,515.0
1029942_21015_0_0,514.6,521.4
1036988_21015_0_0,533.8,533.0
1043350_21016_0_0,508.6,557.0
1044805_21016_0_0,522.2,583.4
1046779_21015_0_0,525.8,520.6
1047966_21015_0_0,520.6,606.2
1048476_21015_0_0,519.4,522.2
1052629_21016_0_0,489.4,521.0
1058554_21015_0_0,515.0,516.2
1066109_21015_0_0,522.6,526.2
1078916_21015_0_0,493.4,547.0
1080578_21016_1_0,491.8,527.0
1082529_21016_1_0,496.2,508.2
1083741_21015_0_0,532.2,563.0
1085115_21016_1_0,486.2,533.4
1106658_21015_0_0,515.4,535.4
1107117_21016_0_0,504.2,515.8
1113436_21016_0_0,494.2,513.4
1121097_21015_0_0,523.4,529.8
1140338_21015_0_0,511.8,514.2
1142210_21016_0_0,501.0,514.6
1155211_21015_0_0,518.2,525.0
1166339_21015_0_0,517.4,522.6
1169935_21015_1_0,528.6,522.6
1170200_21016_1_0,492.6,605.8
1172132_21016_0_0,504.6,517.4
1172294_21015_0_0,540.6,482.6
1174806_21015_1_0,515.4,639.0
1178560_21016_0_0,522.6,511.0
1186522_21015_0_0,511.0,524.6
1188926_21015_0_0,530.2,528.6
1196250_21015_0_0,503.4,514.2
1198503_21016_0_0,502.2,528.2
1201476_21015_0_0,528.6,539.8
1201476_21016_0_0,497.8,525.4
1202067_21015_1_0,525.4,543.0
1203942_21016_0_0,507.8,517.4
1205139_21016_0_0,498.6,509.0
1209712_21015_0_0,521.8,536.2
1214920_21016_0_0,510.2,531.0
1226786_21015_1_0,530.2,552.2
1227130_21016_1_0,500.6,559.8
1229283_21015_0_0,533.4,535.8
1229600_21015_1_0,508.6,533.8
1229848_21016_0_0,499.4,546.6
1230293_21016_0_0,505.0,510.2
1234615_21015_0_0,521.0,523.4
1234730_21015_0_0,516.2,538.2
1257068_21015_0_0,494.2,514.2
1261285_21015_1_0,530.6,527.8
1262520_21016_0_0,501.4,507.4
1266916_21016_0_0,509.0,529.4
1267363_21015_0_0,513.4,557.4
1299852_21016_0_0,500.2,519.0
1300944_21015_0_0,514.2,555.4
1306485_21016_0_0,511.0,511.0
1318252_21016_1_0,485.4,531.0
1320717_21015_0_0,500.6,517.8
1334132_21016_0_0,478.2,543.4
1337834_21016_1_0,510.6,538.2
1347637_21015_0_0,523.8,540.6
1349249_21015_0_0,513.8,509.4
1361220_21016_1_0,494.6,525.4
1363677_21015_0_0,508.2,558.2
1367590_21016_0_0,493.4,504.6
1370711_21015_0_0,515.8,525.4
1382006_21016_0_0,502.6,516.6
1384924_21015_0_0,541.4,505.0
1386145_21016_0_0,519.4,586.6
1393219_21016_0_0,523.8,527.8
1404795_21016_1_0,517.0,505.4
1408100_21016_0_0,506.2,538.2
1410396_21016_0_0,469.4,535.8
1414659_21016_1_0,485.0,520.6
1415476_21016_0_0,493.4,513.8
1416673_21016_0_0,494.6,516.6
1447512_21016_0_0,525.4,563.0
